# id	left	top	right	bottom	texture_id
[SPRITES]

#sprite order: middle, topleft, topright, botleft, botright, left, right, top, bot
#white
100000	18	18	33	33	30
100001	1	1	16	16	30
100002	35	1	50	16	30
100003	1	35	16	50	30
100004	35	35	50	50	30
100005	1	18	16	33	30
100006	35	18	50	33	30
100007	18	1	33	16	30
100008	18	35	33	50	30

#green
100010	69	18	84	33	30
100011	52	1	67	16	30
100012	86	1	101	16	30
100013	52	35	67	50	30
100014	86	35	101	50	30
100015	52	18	67	33	30
100016	86	18	101	33	30
100017	69	1	84	16	30
100018	69	35	84	50	30

#salmon
100020	18	69	33	84	30
100021	1	52	16	67	30
100022	35	52	50	67	30
100023	1	86	16	101	30
100024	35	86	50	101	30
100025	1	69	16	84	30
100026	35	69	50	84	30
100027	18	52	33	67	30
100028	18	86	33	101	30

#blue
100030	69	69	84	84	30
100031	52	52	67	67	30
100032	86	52	101	67	30
100033	52	86	67	101	30
100034	86	86	101	101	30
100035	52	69	67	84	30
100036	86	69	101	84	30
100037	69	52	84	67	30
100038	69	86	84	101	30

#shadow
100040	103	69	118	84	30
100041	103	86	118	101	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
