# id	left	top	right	bottom	texture_id
[SPRITES]
############ SMALL ################
#IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#HOLDING RIGHT
12224	246	120	259	135	0
12225	275	120	290	135	0

#HOLDING LEFT
12214	186	120	199	135	0
12215	154	120	169	135	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#KICK RIGHT & LEFT
12541	425	80	440	95	0
12531	5	80	20	95	0

#JUMP HOLDING RIGHT
#JUMP HOLDING LEFT

################  BIG  ###################
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#HOLDING IDLE
11141	336	233	349	260	0
11131	96	233	109	260	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#HOLDING RIGHT
11224	276	313	290	340	0
11225	305	315	320	340	0

#HOLDING LEFT
11214	154	313	169	340	0
11215	125	315	140	340	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT & LEFT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#KICK RIGHT & LEFT
11641	422	273	443	300	0
11631	1	273	22	300	0

#DIE
13001	215	120	234	137	0


################# RACOON #################
#IDLE
14121	243	634	268	661	0
14111	177	634	202	661	0

#HOLDING IDLE
14141	241	794	268	821	0
14131	178	794	203	821	0

#WALKING RIGHT
14222	272	634	293	661	0
14223	303	633	324	660	0

#WALKING LEFT
14212	152	634	173	661	0
14213	122	633	143	660	0

#HOLDING RIGHT
14224	272	794	299	821	0
14225	303	794	328	821	0

#HOLDING LEFT
14214	146	794	173	821	0
14215	115	794	142	821	0	

#RUNNING RIGHT
14321	331	634	354	661	0
14322	361	634	384	661	0
14323	392	633	413	660	0

